What is the internship position at Zomato?,The internship position is Data Science Intern.
What will I do as a Data Science Intern at Zomato?,Assist in data analysis and model building.
Where is the Data Science Intern internship based?,The internship is based in Gurgaon.
What skills are required for the Data Science Intern internship?,"Required skills include Python, Machine Learning."
What is the duration of the Data Science Intern internship?,The internship lasts for 3 months.
What is the internship position at Paytm?,The internship position is Web Development Intern.
What will I do as a Web Development Intern at Paytm?,Support in developing web applications.
Where is the Web Development Intern internship based?,The internship is based in Noida.
What skills are required for the Web Development Intern internship?,"Required skills include HTML, CSS, JavaScript."
What is the duration of the Web Development Intern internship?,The internship lasts for 4 months.
What is the internship position at HCL?,The internship position is Cybersecurity Intern.
What will I do as a Cybersecurity Intern at HCL?,Help in monitoring and securing systems.
Where is the Cybersecurity Intern internship based?,The internship is based in Chennai.
What skills are required for the Cybersecurity Intern internship?,"Required skills include Network Security, Risk Assessment."
What is the duration of the Cybersecurity Intern internship?,The internship lasts for 2 months.
What is the internship position at Microsoft?,The internship position is Cloud Intern.
What will I do as a Cloud Intern at Microsoft?,Work on cloud deployment projects.
Where is the Cloud Intern internship based?,The internship is based in Bangalore.
What skills are required for the Cloud Intern internship?,"Required skills include Azure, Cloud Services."
What is the duration of the Cloud Intern internship?,The internship lasts for 3 months.
What is the internship position at Swiggy?,The internship position is Mobile App Intern.
What will I do as a Mobile App Intern at Swiggy?,Contribute to mobile app development.
Where is the Mobile App Intern internship based?,The internship is based in Hyderabad.
What skills are required for the Mobile App Intern internship?,"Required skills include Flutter, Dart."
What is the duration of the Mobile App Intern internship?,The internship lasts for 4 months.
What is the internship position at ICICI Bank?,The internship position is Business Analyst Intern.
What will I do as a Business Analyst Intern at ICICI Bank?,Assist with reporting and dashboard building.
Where is the Business Analyst Intern internship based?,The internship is based in Mumbai.
What skills are required for the Business Analyst Intern internship?,"Required skills include Excel, SQL."
What is the duration of the Business Analyst Intern internship?,The internship lasts for 3 months.
What is the internship position at Freshworks?,The internship position is Node.js Intern.
What will I do as a Node.js Intern at Freshworks?,Support backend module development.
Where is the Node.js Intern internship based?,The internship is based in Chennai.
What skills are required for the Node.js Intern internship?,"Required skills include Node.js, JavaScript."
What is the duration of the Node.js Intern internship?,The internship lasts for 2 months.
What is the internship position at IIT Bombay?,The internship position is AI Research Intern.
What will I do as a AI Research Intern at IIT Bombay?,Work on NLP and computer vision models.
Where is the AI Research Intern internship based?,The internship is based in Mumbai.
What skills are required for the AI Research Intern internship?,"Required skills include Python, ML, AI."
What is the duration of the AI Research Intern internship?,The internship lasts for 4 months.
